metro_area_name,state_abbreviation,total_population,total_housing_units,occupied_housing_units,vacant_housing_units,percent_occupied,percent_vacant
"Cincinnati, OH-KY-IN",OH,2261665,965036,903245,61791,93.6,6.4
"Cleveland-Elyria, OH",OH,2075662,970262,890105,80157,91.7,8.3
"Columbus, OH",OH,2151017,915117,856193,58924,93.6,6.4
"Dayton-Kettering, OH",OH,813516,370966,338505,32461,91.2,8.8
"Lima, OH",OH,101670,44700,41021,3679,91.8,8.2
"Mansfield, OH",OH,125195,54637,49536,5101,90.7,9.3
"Springfield, OH",OH,135633,61051,57013,4038,93.4,6.6
"Toledo, OH",OH,644217,304622,273165,31457,89.7,10.3
"Youngstown-Warren-Boardman, OH-PA",OH,538069,253225,230536,22689,91,9
"Enid, OK",OK,61926,27805,23016,4789,82.8,17.2
"Lawton, OK",OK,127078,55351,46916,8435,84.8,15.2
"Oklahoma City, OK",OK,1441647,615726,565309,50417,91.8,8.2
"Tulsa, OK",OK,1024191,442418,403034,39384,91.1,8.9
"Albany-Lebanon, OR",OR,129839,52851,51347,1504,97.2,2.8
"Bend, OR",OR,204801,96942,83763,13179,86.4,13.6
"Corvallis, OR",OR,96017,40636,39350,1286,96.8,3.2
"Eugene-Springfield, OR",OR,383189,167832,160158,7674,95.4,4.6
"Grants Pass, OR",OR,88346,39165,36755,2410,93.8,6.2
"Medford, OR",OR,223734,96570,90817,5753,94,6
"Portland-Vancouver-Hillsboro, OR-WA",OR,2510696,1051099,1001984,49115,95.3,4.7
"Salem, OR",OR,436283,164833,158144,6689,95.9,4.1
"Allentown-Bethlehem-Easton, PA-NJ",PA,865310,359789,337283,22506,93.7,6.3
"Altoona, PA",PA,121767,55799,49795,6004,89.2,10.8
"Bloomsburg-Berwick, PA",PA,82959,37828,33496,4332,88.5,11.5
"Chambersburg-Waynesboro, PA",PA,156289,66724,62081,4643,93,7
"East Stroudsburg, PA",PA,169273,79319,65907,13412,83.1,16.9
"Erie, PA",PA,269011,119948,110561,9387,92.2,7.8
"Gettysburg, PA",PA,104127,43268,39986,3282,92.4,7.6
"Harrisburg-Carlisle, PA",PA,596305,257236,243253,13983,94.6,5.4
"Johnstown, PA",PA,132167,64420,55283,9137,85.8,14.2
"Lancaster, PA",PA,553652,218051,210063,7988,96.3,3.7
"Lebanon, PA",PA,143493,59558,54906,4652,92.2,7.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,6228601,2603073,2442868,160205,93.8,6.2
"Pittsburgh, PA",PA,2353538,1129527,1025698,103829,90.8,9.2
"Reading, PA",PA,429342,171298,164312,6986,95.9,4.1
"Scranton--Wilkes-Barre, PA",PA,567750,263876,233473,30403,88.5,11.5
"State College, PA",PA,157527,65854,57518,8336,87.3,12.7
"Williamsport, PA",PA,113605,52656,47022,5634,89.3,10.7
"York-Hanover, PA",PA,458696,188592,178898,9694,94.9,5.1
"Providence-Warwick, RI-MA",RI,1675774,729154,673701,55453,92.4,7.6
"Charleston-North Charleston, SC",SC,813052,370105,316378,53727,85.5,14.5
"Columbia, SC",SC,836324,372120,334313,37807,89.8,10.2
"Florence, SC",SC,199259,91081,77918,13163,85.5,14.5
"Greenville-Anderson, SC",SC,940774,412654,373112,39542,90.4,9.6
"Hilton Head Island-Bluffton, SC",SC,222072,116119,89701,26418,77.2,22.8
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",SC,509794,303194,210672,92522,69.5,30.5
"Spartanburg, SC",SC,335864,140830,128437,12393,91.2,8.8
"Sumter, SC",SC,135782,63199,54669,8530,86.5,13.5
"Rapid City, SD",SD,141190,62589,57532,5057,91.9,8.1
"Sioux Falls, SD",SD,282557,120316,114967,5349,95.6,4.4
"Chattanooga, TN-GA",TN,567395,250730,228853,21877,91.3,8.7
"Clarksville, TN-KY",TN,329864,134158,121468,12690,90.5,9.5
"Cleveland, TN",TN,129855,54630,50236,4394,92,8
"Jackson, TN",TN,180799,79730,71462,8268,89.6,10.4
"Johnson City, TN",TN,205972,97483,86767,10716,89,11
"Kingsport-Bristol, TN-VA",TN,307318,149166,128312,20854,86,14
"Knoxville, TN",TN,893002,400055,361646,38409,90.4,9.6
"Memphis, TN-MS-AR",TN,1336438,570888,520309,50579,91.1,8.9
"Morristown, TN",TN,143855,64582,53925,10657,83.5,16.5
"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,2013506,859329,794373,64956,92.4,7.6
"Abilene, TX",TX,178608,74754,66816,7938,89.4,10.6
"Amarillo, TX",TX,270119,114840,104421,10419,90.9,9.1
"Austin-Round Rock-Georgetown, TX",TX,2352426,996718,955207,41511,95.8,4.2
"Beaumont-Port Arthur, TX",TX,395419,171716,148489,23227,86.5,13.5
"Brownsville-Harlingen, TX",TX,423029,157370,135734,21636,86.3,13.7
"College Station-Bryan, TX",TX,271026,116494,99917,16577,85.8,14.2
"Corpus Christi, TX",TX,422778,182771,153119,29652,83.8,16.2
"Dallas-Fort Worth-Arlington, TX",TX,7759615,3020276,2836892,183384,93.9,6.1
"El Paso, TX",TX,871727,322343,299177,23166,92.8,7.2
"Houston-The Woodlands-Sugar Land, TX",TX,7206841,2823969,2601401,222568,92.1,7.9
